Part,QTY,Cost (per),net cost,Link,notes
8x14mm flanged bearing hex bore,3,5.99,17.97,link,packs of two
32x39mm flanged bearing,8,11.99,95.92,link,"gobilda is literally the only vendor, terrible pricing"
25x32mm bearing,1,14.89,14.89,link,"packs of 10, might asw pay 2 bucks for 10pcs"
6x12mm flanged bearings,1,8.99,8.99,link,packs of 10
6x12x18mm linear bearings,1,7.39,7.39,link,packs of 6
3x7x10mm linear bearings,3,9.39,28.17,link,packs of 4
5x10mm flanged bearings,1,6.49,6.49,link,packs of 4
5mm diameter lead screw 100mm L,1,6.99,6.99,link,lead screw + nut
5mm diameter lead screw nut,1,4.99,4.99,link,need another nut
M3 28mm dowel pin,1,5.99,5.99,link,50 pack
M3 60mm dowel pin,1,5.79,5.79,link,10 pack
6mm OD m4 48mm standoff,1,5.29,5.29,link,4 pack
6mm OD m4 32mm standoff,1,4.29,4.29,link,4pack
3x6mm bearing,1,8.79,8.79,link,20pack
8mm hex shaft 64mm L,1,4.69,4.69,link,
8mm hex shaft 80mm L,1,5.09,5.09,link,
m4x4x4 heatset inserts,1,5.99,5.99,link,100pack
solder,1,29.99,29.99,link,first time using it
m3 tsaras,,,,,
,,total cost,267.71,,
